Logan Tillman,,,,,,,,
Wrap:,TRUE,,,,,,,
K(states):,5,,,,,,,
Radius:,1,,,,,,,
Quiescence:,TRUE,,,,,,,
random seed:,1643824889,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment #:,0,,,,,,,
Rule:,3.11E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.465917583,1.891995487,,Few strands repeat
1,7,2,0.848,0.846153846,1.884650692,2.038159682,,"Most die off, few repeating"
2,3,2,0.768,0.769230769,1.928647331,2.075869297,,Dashed and solid repeats
3,1,2,0.744,0.692307692,1.946794718,2.10390991,,Solid lines
4,8,2,0.624,0.615384615,1.959612541,2.075869297,,Solid repeats
5,2,2,0.576,0.538461538,1.916840619,1.987773371,,"Most die quickly, rest repeat"
6,9,2,0.496,0.461538462,1.598684058,1.669180337,,Three columns repeat
7,4,2,0.376,0.384615385,1.433832905,1.546593564,,All die except for 1 string
8,5,2,0.232,0.307692308,1.054907289,1.352030102,,All die except 2 strings
9,11,2,0.208,0.230769231,0.899747146,0.991264261,,All die except for 2 strings
10,12,2,0.2,0.153846154,0.880936151,0.773228349,,All die except for 2 strings
11,6,1,0.048,0.076923077,0.277839574,0.391243564,,All die quickly
12,10,1,0,0,0,0,,Dead quickly
,,,,,,,,
,,,,,,,,
Experiment #:,1,,,,,,,
Rule:,3.34E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.943510385,1.987773371,,Mostly static with triangle patterns
1,9,3,0.912,0.846153846,2.157602864,2.133937566,,Static with small triangles
2,10,3,0.864,0.769230769,2.175220356,2.075869297,,Static with triangles
3,3,3,0.784,0.692307692,2.250586814,2.038159682,,Static with larger black triangles
4,2,3,0.736,0.615384615,2.237910004,2.038159682,,Static with various sizes of triangles
5,11,3,0.712,0.538461538,2.219866634,1.987773371,,Static but has a cool quadruple triangle meshed together
6,7,1,0.568,0.461538462,1.823162834,1.669180337,,Vine-like patterns but dies off
7,1,1,0.544,0.384615385,1.783161371,1.546593564,,Looks like vines growing but dies
8,6,1,0.392,0.307692308,1.585748285,1.352030102,,"Nothing significant, dies off quickly"
9,12,1,0.384,0.230769231,1.567320832,1.145110414,,Dies off quickly
10,4,1,0.264,0.153846154,1.095146613,0.773228349,,Dies quickly
11,5,1,0.12,0.076923077,0.529360865,0.391243564,,Dies quickly
12,8,1,0,0,0,0,,Dies quickly
,,,,,,,,
,,,,,,,,
Experiment #:,2,,,,,,,
Rule:,3.21E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,4,0.992,0.923076923,1.940875737,2.10390991,,Chaos-like but has peaceful moments with DNA looking structures
1,10,3,0.944,0.846153846,2.110013827,2.199687795,,Static with random holes
2,3,3,0.864,0.769230769,2.229853218,2.199687795,,Static with a few mangled triangles
3,6,4,0.712,0.692307692,1.942494746,1.950063756,,"Tree like structures, looks like a forest"
4,2,2,0.664,0.615384615,1.942494746,1.922023143,,Dashed lines repeating
5,1,1,0.64,0.538461538,1.910931267,1.833927218,,Dies off
6,7,1,0.496,0.461538462,1.7639185,1.727248606,,Dies quickly
7,4,1,0.376,0.384615385,1.366376597,1.546593564,,Dies quickly
8,5,1,0.232,0.307692308,1.042309636,1.352030102,,Dies quickly
9,8,1,0.112,0.230769231,0.628549648,1.145110414,,Dies quickly
10,11,1,0.088,0.153846154,0.468434344,0.773228349,,Dies quickly
11,9,1,0.008,0.076923077,0.067221545,0.391243564,,Dies quickly
12,12,1,0,0,0,0,,Dies quickly
,,,,,,,,
,,,,,,,,
Experiment #:,3,,,,,,,
Rule:,1.24E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,3,0.992,0.923076923,1.708760671,2.038159682,,"Pretty chaotic, but has sparse moments of green and yellow stripes"
1,7,3,0.848,0.846153846,2.040618165,2.16197818,,Static but has crater like holes
2,2,4,0.8,0.769230769,2.087185718,2.199687795,,Has bug-like patterns mixed with some straight lines
3,10,3,0.752,0.692307692,2.070402527,2.10390991,,Mostly chaotic but has creature-like figures
4,3,2,0.672,0.615384615,2.03690619,2.075869297,,Starts as vines but repeats in lines
5,8,2,0.552,0.538461538,1.966733995,1.987773371,,Repeats in chain-linked structures
6,1,2,0.528,0.461538462,1.82986058,1.669180337,,Chain-linked structures repeating
